Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,3.970000,4.130000,3.970000,4.080000,3.989960,14374300
2023-04-11,4.080000,4.140000,4.050000,4.060000,3.970402,11066400
2023-04-12,4.080000,4.130000,3.970000,3.980000,3.892167,14255500
2023-04-13,3.980000,4.070000,3.970000,4.050000,3.960623,12357000
2023-04-14,4.040000,4.060000,3.940000,3.960000,3.872608,10136000
2023-04-17,3.980000,4.030000,3.930000,3.990000,3.901946,12236200
2023-04-18,4.000000,4.000000,3.820000,3.880000,3.794374,18512600
2023-04-19,3.840000,3.970000,3.840000,3.930000,3.843270,8142100
2023-04-20,3.900000,3.930000,3.780000,3.800000,3.716139,17350600
2023-04-21,3.800000,3.860000,3.780000,3.840000,3.755257,10184200
2023-04-24,3.820000,3.840000,3.750000,3.780000,3.696581,9878000
2023-04-25,3.800000,3.800000,3.680000,3.690000,3.608567,16009600
2023-04-26,3.650000,3.720000,3.620000,3.650000,3.569450,13056900
2023-04-27,3.530000,3.770000,3.320000,3.700000,3.618346,32907400
2023-04-28,3.710000,3.850000,3.690000,3.800000,3.716139,18671600
2023-05-01,3.800000,3.860000,3.760000,3.780000,3.696581,14013200
2023-05-02,3.780000,3.780000,3.650000,3.680000,3.598788,13888000
2023-05-03,3.690000,3.760000,3.680000,3.690000,3.608567,15178900
2023-05-04,3.680000,3.680000,3.550000,3.590000,3.533757,11336100
2023-05-05,3.610000,3.740000,3.600000,3.730000,3.671564,13390800
2023-05-08,3.730000,3.760000,3.570000,3.600000,3.543601,20685500
2023-05-09,3.570000,3.600000,3.410000,3.420000,3.366421,25465100
2023-05-10,3.450000,3.480000,3.350000,3.420000,3.366421,16180900
2023-05-11,3.380000,3.650000,3.380000,3.620000,3.563287,20589000
2023-05-12,3.650000,3.660000,3.460000,3.550000,3.494384,15774300
2023-05-15,3.550000,3.610000,3.520000,3.590000,3.533757,9319800
2023-05-16,3.590000,3.630000,3.540000,3.540000,3.484541,12439800
2023-05-17,3.550000,3.690000,3.510000,3.630000,3.573131,17020400
2023-05-18,3.600000,3.650000,3.520000,3.630000,3.573131,13752700
2023-05-19,3.650000,3.670000,3.500000,3.530000,3.474697,13358800
2023-05-22,3.550000,3.580000,3.510000,3.550000,3.494384,12426600
2023-05-23,3.540000,3.600000,3.500000,3.530000,3.474697,16868600
2023-05-24,3.530000,3.540000,3.470000,3.530000,3.474697,13017200
2023-05-25,3.480000,3.520000,3.450000,3.490000,3.435324,10179300
2023-05-26,3.480000,3.560000,3.450000,3.530000,3.474697,13610800
2023-05-30,3.530000,3.610000,3.520000,3.600000,3.543601,12567700
2023-05-31,3.590000,3.630000,3.560000,3.560000,3.504227,24174100
2023-06-01,3.590000,3.760000,3.480000,3.700000,3.642034,23897600
2023-06-02,3.710000,3.740000,3.550000,3.580000,3.523914,16878500
2023-06-05,3.580000,3.690000,3.570000,3.600000,3.543601,16651200
2023-06-06,3.620000,3.740000,3.590000,3.730000,3.671564,12731200
2023-06-07,3.740000,3.890000,3.710000,3.860000,3.799527,21234900
2023-06-08,3.880000,3.920000,3.770000,3.880000,3.819214,14961800
2023-06-09,3.890000,3.890000,3.790000,3.810000,3.750311,13141700
2023-06-12,3.790000,3.820000,3.670000,3.790000,3.730624,14183700
2023-06-13,3.810000,3.850000,3.780000,3.830000,3.769997,11525700
2023-06-14,3.830000,3.910000,3.760000,3.770000,3.710938,18443300
2023-06-15,3.790000,3.840000,3.750000,3.830000,3.769997,10965000
2023-06-16,3.910000,3.980000,3.790000,3.940000,3.878274,57970500
2023-06-20,3.950000,3.970000,3.700000,3.750000,3.691251,26948800
2023-06-21,3.770000,3.770000,3.650000,3.660000,3.602661,14579000
2023-06-22,3.670000,3.780000,3.650000,3.750000,3.691251,18711900
2023-06-23,3.700000,3.850000,3.650000,3.830000,3.769997,23944800
2023-06-26,3.830000,3.950000,3.800000,3.910000,3.848744,10996000
2023-06-27,3.920000,4.320000,3.890000,4.090000,4.025925,39288300
2023-06-28,4.140000,4.290000,4.110000,4.270000,4.203104,21406200
2023-06-29,4.300000,4.330000,4.160000,4.330000,4.262164,15686800
2023-06-30,4.370000,4.550000,4.320000,4.530000,4.459031,17128200
2023-07-03,4.560000,4.640000,4.510000,4.630000,4.557464,11365800
2023-07-05,4.600000,4.610000,4.450000,4.560000,4.488561,14322100
2023-07-06,4.520000,4.530000,4.400000,4.440000,4.370441,11983300
2023-07-07,4.440000,4.500000,4.410000,4.450000,4.380284,11730600
2023-07-10,4.500000,4.670000,4.450000,4.610000,4.537778,17402000
2023-07-11,4.630000,4.800000,4.610000,4.780000,4.705115,16910800
2023-07-12,4.820000,4.860000,4.730000,4.810000,4.734644,14071200
2023-07-13,4.800000,4.920000,4.780000,4.890000,4.813391,9727200
2023-07-14,4.840000,4.850000,4.720000,4.750000,4.675585,15178500
2023-07-17,4.710000,4.960000,4.650000,4.940000,4.862608,14767800
2023-07-18,4.940000,5.370000,4.920000,5.290000,5.207124,30128300
2023-07-19,5.290000,5.560000,5.270000,5.490000,5.403991,30894400
2023-07-20,5.470000,7.950000,5.430000,7.810000,7.687645,127968500
2023-07-21,6.990000,7.390000,6.570000,7.080000,6.969081,132913300
2023-07-24,6.770000,6.940000,5.980000,6.000000,5.906001,39118000
2023-07-25,5.960000,5.980000,5.070000,5.130000,5.049631,44713800
2023-07-26,5.120000,5.300000,4.880000,4.890000,4.813391,31869900
2023-07-27,4.960000,5.030000,4.700000,4.810000,4.734644,21181900
2023-07-28,4.850000,5.160000,4.800000,5.110000,5.029944,19849300
2023-07-31,5.210000,5.390000,5.070000,5.100000,5.020101,24200700
2023-08-01,5.320000,5.650000,4.860000,4.980000,4.901981,24528200
2023-08-02,5.030000,5.130000,4.820000,4.960000,4.882294,20117100
2023-08-03,4.920000,5.060000,4.920000,4.980000,4.901981,10707800
2023-08-04,5.020000,5.030000,4.690000,4.830000,4.754331,19510000
2023-08-07,4.820000,4.860000,4.720000,4.810000,4.758288,10602300
2023-08-08,4.720000,4.830000,4.610000,4.820000,4.768181,13513800
2023-08-09,4.790000,4.910000,4.780000,4.880000,4.827536,13107400
2023-08-10,5.000000,5.180000,4.820000,4.840000,4.787966,17792800
2023-08-11,4.790000,4.880000,4.730000,4.750000,4.698933,8312600
2023-08-14,4.720000,4.820000,4.670000,4.700000,4.649470,7987000
2023-08-15,4.650000,4.750000,4.610000,4.710000,4.659363,8703700
2023-08-16,4.700000,4.740000,4.620000,4.620000,4.570331,9106600
2023-08-17,4.620000,4.660000,4.490000,4.500000,4.451621,11623900
2023-08-18,4.500000,4.610000,4.460000,4.490000,4.441728,10639900
2023-08-21,4.420000,4.500000,4.380000,4.400000,4.352696,11450600
2023-08-22,4.470000,4.510000,4.230000,4.270000,4.224094,16654300
2023-08-23,4.270000,4.280000,4.110000,4.130000,4.085599,16915300
2023-08-24,4.100000,4.210000,3.990000,4.010000,3.966889,13515100
2023-08-25,4.010000,4.130000,4.010000,4.040000,3.996566,8886700
2023-08-28,4.080000,4.140000,4.040000,4.100000,4.055921,8598600
2023-08-29,4.120000,4.330000,4.110000,4.280000,4.233986,11030900
2023-08-30,4.450000,4.600000,4.430000,4.580000,4.530760,17284700
2023-08-31,4.610000,4.610000,4.390000,4.400000,4.352696,15290000
2023-09-01,4.450000,4.530000,4.420000,4.500000,4.451621,10317000
2023-09-05,4.480000,4.510000,4.260000,4.280000,4.233986,12481700
2023-09-06,4.270000,4.360000,4.230000,4.290000,4.243878,8371600
2023-09-07,4.290000,4.330000,4.130000,4.210000,4.164739,11420000
2023-09-08,4.240000,4.270000,4.170000,4.260000,4.214201,15162600
2023-09-11,4.240000,4.360000,4.210000,4.230000,4.184524,10397200
2023-09-12,4.170000,4.300000,4.150000,4.280000,4.233986,11705200
2023-09-13,4.270000,4.310000,4.150000,4.150000,4.105384,12687000
2023-09-14,4.180000,4.350000,4.180000,4.320000,4.273556,18053600
2023-09-15,4.340000,4.350000,3.930000,3.990000,3.947104,81812600
2023-09-18,4.020000,4.190000,4.010000,4.100000,4.055921,20817900
2023-09-19,4.070000,4.180000,4.070000,4.180000,4.135061,10247500
2023-09-20,4.210000,4.250000,4.110000,4.120000,4.075706,9003100
2023-09-21,4.120000,4.150000,4.060000,4.100000,4.055921,11644500
2023-09-22,4.130000,4.170000,4.010000,4.030000,3.986674,9278100
2023-09-25,4.000000,4.060000,3.970000,4.010000,3.966889,9650500
2023-09-26,3.650000,4.060000,3.480000,3.880000,3.838286,64501200
2023-09-27,3.940000,4.080000,3.810000,4.070000,4.026244,29034200
2023-09-28,4.160000,4.920000,4.000000,4.680000,4.629686,45479600
2023-09-29,4.620000,4.830000,4.470000,4.520000,4.471406,22047200
2023-10-02,4.480000,4.550000,4.280000,4.310000,4.263663,21307100
2023-10-03,4.290000,4.370000,4.200000,4.290000,4.243878,13981900
2023-10-04,4.360000,4.490000,4.300000,4.450000,4.402158,14705900
2023-10-05,4.500000,4.500000,4.330000,4.370000,4.323019,12208700
2023-10-06,4.340000,4.420000,4.280000,4.320000,4.273556,13575500
2023-10-09,4.320000,4.510000,4.270000,4.420000,4.372481,9652200
2023-10-10,4.460000,4.490000,4.430000,4.470000,4.421943,12000800
2023-10-11,4.570000,4.590000,4.470000,4.590000,4.540654,8820400
2023-10-12,4.610000,4.630000,4.470000,4.590000,4.540654,12338800
2023-10-13,4.690000,4.860000,4.620000,4.850000,4.797858,18206700
2023-10-16,4.850000,4.890000,4.740000,4.840000,4.787966,11469800
2023-10-17,4.890000,4.900000,4.710000,4.720000,4.669255,8640200
2023-10-18,4.720000,4.720000,4.590000,4.600000,4.550546,5761400
2023-10-19,4.600000,4.690000,4.540000,4.560000,4.510976,8771400
2023-10-20,4.460000,4.560000,4.450000,4.470000,4.421943,8385300
2023-10-23,4.500000,4.540000,4.400000,4.480000,4.431836,9676300
2023-10-24,4.540000,4.550000,4.410000,4.440000,4.392266,6453400
2023-10-25,4.400000,4.440000,4.320000,4.360000,4.313126,13693900
2023-10-26,4.450000,4.450000,4.220000,4.230000,4.184524,11514500
2023-10-27,4.200000,4.240000,4.110000,4.120000,4.075706,9909600
2023-10-30,4.160000,4.240000,4.140000,4.180000,4.135061,13690000
2023-10-31,4.260000,4.480000,4.170000,4.280000,4.233986,13351200
2023-11-01,4.310000,4.550000,4.210000,4.500000,4.451621,18488700
